year,age_20_24,age_25_29,age_30_34,age_35_39,age_40_44
1935,3034288,2569835,2253145,1952400,1638384
1947,3699448,3080721,2766912,2552224,2081390
1950,3889727,3363222,2841997,2671968,2284025
1955,4206828,3828946,3319693,2795628,2620580
1960,4193184,4114704,3770907,3274822,2744786
1965,4572392,4206801,4110076,3751030,3231736
1970,5315367,4546549,4168854,4067908,3658414
1975,4475633,5337534,4596193,4188646,4082190
1980,3851795,4463705,5320249,4582423,4158160
1985,4005700,3828700,4492900,5288100,4554200
1990,4283828,3940802,3821102,4446124,5284445
1995,4785397,4244677,3934034,3819945,4434865
2000,4045490,4731769,4243244,3942893,3823395
2005,3504081,3979000,4726334,4245875,3947867
2010,3076411,3511714,4033928,4761382,4268754
2014,2913000,3158000,3576000,4185000,4747000
2015,2868752,3082677,3531534,4046870,4763673
2016,2871672,3001820,3456437,3895736,4696300
2017,2881503,2935742,3379099,3776188,4563922
2018,2899714,2882183,3282944,3678217,4387863
2019,2897172,2862291,3174819,3604575,4199110