prefecture_ID,prefecture_jp,prefecture_en,prefecture_population
01,北海道,hokkaido,5228732 
02,青森県,aomori,1260067 
03,岩手県,iwate,1221205 
04,宮城県,miyagi,2282106 
05,秋田県,akita,971604 
06,山形県,yamagata,1070017 
07,福島県,fukushima,1862777 
08,茨城県,ibaraki,2907678 
09,栃木県,tochigi,1955402 
10,群馬県,gumma,1958185 
11,埼玉県,saitama,7393849 
12,千葉県,chiba,6322897 
13,東京都,tokyo,13843525 
14,神奈川県,kanagawa,9220245 
15,新潟県,niigata,2213353 
16,富山県,toyama,1047713 
17,石川県,ishikawa,1132656 
18,福井県,fukui,774596 
19,山梨県,yamanashi,821094 
20,長野県,nagano,2072219 
21,岐阜県,gifu,2016868 
22,静岡県,shizuoka,3686335 
23,愛知県,aichi,7558872 
24,三重県,mie,1800756 
25,滋賀県,shiga,1418886 
26,京都府,kyoto,2530609 
27,大阪府,osaka,8839532 
28,兵庫県,hyogo,5523627 
29,奈良県,nara,1344952 
30,和歌山県,wakayama,944750 
31,鳥取県,tottori,556959 
32,島根県,shimane,672979 
33,岡山県,okayama,1893874 
34,広島県,hiroshima,2812477 
35,山口県,yamaguchi,1356144 
36,徳島県,tokushima,735070 
37,香川県,kagawa,973922 
38,愛媛県,ehime,1356343 
39,高知県,kochi,701531 
40,福岡県,fukuoka,5124259 
41,佐賀県,saga,818251 
42,長崎県,nagasaki,1336023 
43,熊本県,kumamoto,1758815 
44,大分県,oita,1141784 
45,宮崎県,miyazaki,1087372 
46,鹿児島県,kagoshima,1617850 
47,沖縄県,okinawa,1485484 